route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id,wheelchair_accessible,trip_note,route_direction
2441_391,356,611508,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_395,272,611556,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_393,272,611667,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_391,356,611718,55583,La Perouse,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,356,611719,55583,La Perouse,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_395,356,611746,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,356,611747,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,356,611748,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,356,611749,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,611752,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,611753,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_395,272,611754,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_391,356,611910,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_393,356,611940,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_395,356,611951,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_391,356,611977,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,356,611978,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,356,611979,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,272,612018,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,272,612019,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,356,612042,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_393,356,612045,55538,Little Bay,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_391,272,612050,55583,La Perouse,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,272,612051,55583,La Perouse,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,272,612052,55583,La Perouse,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,272,612053,55583,La Perouse,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,272,612054,55583,La Perouse,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,272,612055,55583,La Perouse,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,272,612056,55583,La Perouse,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_395,272,612112,55596,Maroubra Beach,0,,1,,Central Railway Square to Maroubra Beach
2441_393,272,612165,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_391,356,612192,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_391,356,612193,55599,Port Botany Depot,0,,1,,Central Railway Square to La Perouse or Port Botany
2441_393,272,612198,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612199,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
2441_393,272,612200,55586,Maroubra Junction,0,,1,,Central Railway Square to Little Bay via Maroubra & Kingsford
